week,location,average_price
10/07/2010,131.57(127.35),118.00(116.15)
03/07/2010,128.06(128.69),116.72(124.03)
26/06/2010,124.76(130.26),116.28(125.71)
19/06/2010,117.92(130.70),114.86(126.37)
12/06/2010,119.26(130.55),114.59(125.04)
05/06/2010,115.92(134.80),111.16(N.S.)
29/05/2010,123.00(140.00),111.31(133.75)
22/05/2010,120.76(139.96),109.36(133.55)
15/05/2010,120.50(137.33),111.43(131.05)
08/05/2010,120.27(133.97),115.20(128.70)
01/05/2010,113.96(126.49),118.30(122.25)
24/04/2010,109.42(117.93),101.15(110.18)
17/04/2010,106.80(N.S.),N.S.(N.S.)
10/04/2010,74.98(N.S.),81.58(98.98)
03/04/2010,67.64(81.02),66.59(N.S.)
27/03/2010,N.S.(N.S.),N.S.(74.71)
20/03/2010,N.S.(76.82),N.S.(N.S.)
13/03/2010,75.96(N.S.),73.71(N.S.)
06/03/2010,83.13(79.54),75.65(71.10)
27/02/2010,95.47(79.92),82.21(74.41)
20/02/2010,99.01(84.39),86.76(75.27)
13/02/2010,106.23(87.95),87.15(79.98)
06/02/2010,105.73(88.99),89.31(83.24)
30/01/2010,110.32(91.45),N.S.(N.S.)
23/01/2010,106.12 (94.14),91.32 (85.69)
16/01/2010,N.S.( 95.95),93.96 (87.66)
09/01/2010,109.00 (97.74),97.60 (87.48)
02/01/2010,115.98 (99.01),103.00 (N.S.)
26/11/2011,123.35(131.63),105.74(118.31)
31/12/2011,124.07(119.16),97.82(N.S.)
24/12/2011,121.55(122.91),97.94(104.50)
17/12/2011,118.86(125.06),96.50(109.00)
10/12/2011,122.54(127.22),101.41(110.39)
03/12/2011,127.40(128.61),101.55(117.11)
19/11/2011,124.22(130.93),104.41(120.27)
12/11/2011,126.11(131.62),109.60(118.41)
05/11/2011,126.16(132.73),109.80(118.83)
29/10/2011,126.83(133.73),114.64(122.23)
22/10/2011,125.23(N.S.),111.19(124.62)
15/10/2011,127.88(133.76),110.38(N.S.)
08/10/2011,N.S.(135.56),N.S.(123.41)
01/10/2011,129.41(131.81),112.61(123.32)
24/09/2011,129.12(133.27),108.56(124.46)
17/09/2011,124.09(133.45),111.82(122.48)
10/09/2011,125.08(135.37),110.45(125.30)
03/09/2011,126.50(135.83),109.15(122.13)
27/08/2011,125.23(136.17),110.82(124.84)
20/08/2011,126.04(135.10),111.48(126.20)
13/08/2011,126.60(135.72),111.70(123.03)
06/08/2011,125.91(131.96),111.16(121.00)
30/07/2011,125.85(137.58),118.42(122.64)
23/07/2011,135.41(131.27),122.06(117.92)
16/07/2011,135.67(129.25),126.51(115.76)
09/07/2011,138.72(131.57),128.37(118.00)
02/07/2011,136.51(128.06),133.53(116.72)
25/06/2011,134.28(124.76),132.19(116.28)
18/06/2011,131.68(117.92),129.36(114.86)
11/06/2011,129.43(119.26),126.81(114.59)
04/06/2011,125.08(115.92),121.46(111.16)
28/05/2011,127.87(123.00),121.10(111.31)
21/05/2011,131.13(120.76),123.76(109.36)
14/05/2011,129.55(120.50),123.77(111.43)
07/05/2011,134.71(120.27),127.52(115.20)
30/04/2011,140.34(113.96),131.24(118.30)
23/04/2011,112.23(109.42),110.93(101.15)
16/04/2011,130.49(106.80),N.S.(N.S.)
09/04/2011,125.68(74.98),112.71(81.58)
02/04/2011,71.64(67.64),66.40(66.59)
26/03/2011,N.S.(N.S.),N.S.(N.S.)
19/03/2011,N.S.(N.S.),N.S.(N.S.)
12/03/2011,86.77(75.96),79.00(73.71)
05/03/2011,83.67(83.13),N.S.(75.65)
26/02/2011,91.23(95.47),76.06(82.21)
19/02/2011,97.43(99.01),87.80(86.76)
12/02/2011,102.18(106.23),87.99(87.15)
05/02/2011,107.94(105.73),92.20(89.31)
29/01/2011,111.39(110.32),N.S.(N.S.)
22/01/2011,113.17(106.12),93.03(91.32)
15/01/2011,114.48(N.S.),96.59(93.96)
08/01/2011,115.60(109.00),95.83(97.60)
01/01/2011,119.16(115.98),101.32(103.00)
29/12/2012,145.47(124.07),131.33(97.82)
22/12/2012,145.30(121.55),133.74(97.94)
15/12/2012,146.65(118.86),138.22(96.50)
08/12/2012,146.89(122.54),134.98(101.41)
01/12/2012,148.97(127.40),133.42(101.55)
24/11/2012,151.77(123.35),134.58(105.74)
17/11/2012,149.59(124.22),135.22(104.41)
10/11/2012,150.00(126.11),131.32(109.60)
03/11/2012,145.61(126.16),129.20(109.80)
27/10/2012,N.S.(126.83),N.S.(114.64)
20/10/2012,147.22(125.23),127.64(111.19)
13/10/2012,146.07(127.88),130.98(110.38)
06/10/2012,N.S.(N.S.),133.24(N.S.)
29/09/2012,144.86(129.41),135.26(112.61)
22/09/2012,146.99(129.12),136.01(108.56)
15/09/2012,149.61(124.09),136.53(111.82)
08/09/2012,147.33(125.08),139.07(110.45)
01/09/2012,148.24(126.50),138.96(109.15)
25/08/2012,151.27(125.23),142.04(110.82)
18/08/2012,149.78(126.04),141.10(111.48)
11/08/2012,151.48(126.60),143.23(111.70)
04/08/2012,152.58(125.91),143.48(111.17)
28/07/2012,154.80(125.85),142.38(118.42)
21/07/2012,154.41(135.41),144.16(122.06)
14/07/2012,157.21(135.67),143.41(126.51)
07/07/2012,160.15(138.71),148.92(133.98)
30/06/2012,158.63(136.63),151.69(132.21)
23/06/2012,163.32(134.39),154.53(129.42)
16/06/2012,166.41(132.01),158.51(126.8)
09/06/2012,174.54(129.46),161.87(121.35)
02/06/2012,173.92(125.31),159.32(121.11)
26/05/2012,171.32(127.82),160.39(123.75)
19/05/2012,164.07(131.12),158.06(123.70)
12/05/2012,162.1(129.54),155.12(127.5)
05/05/2012,164.00(135.19),158.11(131.24)
28/04/2012,160.41(140.62),155.88(110.66)
21/04/2012,124.63(112.52),141.97(N.S.)
14/04/2012,129.59(130.97),158.26(112.64)
07/04/2012,102.56(125.62),133.30(66.31)
31/03/2012,80.03(71.64),88.99(66.40)
24/03/2012,N.S.(N.S.),N.S.(N.S.)
17/03/2012,NS (NS),NS (NS)
10/03/2012,87.52(86.77),80.30(79.00)
03/03/2012,92.20(83.67),NS (NS)
25/02/2012,99.05(91.23),75.41(76.06)
18/02/2012,102.62(97.43),86.88(87.80)
11/02/2012,106.69(102.18),86.81(87.99)
04/02/2012,108.90(107.94),86.95(92.20)
28/01/2012,112.13(111.39),86.06(N.S.)
21/01/2012,113.38(113.17),87.79(93.03)
14/01/2012,118.92(114.48),89.85(96.59)
07/01/2012,121.61(115.60),93.40(95.83)
28/12/2013,143.77(145.47),117.81(131.33)
21/12/2013,143.51(145.30),118.65(133.74)
07/12/2013,152.31(146.89),124.53(134.98)
30/11/2013,153.33(148.97),124.02(133.42)
23/11/2013,146.15(151.77),126.04(134.58)
16/11/2013,144.73(149.59),130.60(135.22)
09/11/2013,144.78(149.67),131.78(131.32)
02/11/2013,145.11 (145.61),130.12 (129.20)
26/10/2013,148.04 (N.S.),132.51 (N.S.)
19/10/2013,N.S. (147.22),N.S. (127.64)
12/10/2013,148.81 (146.07),137.32 (130.98)
05/10/2013,148.01 (N.S.),135.37 (133.24)
28/09/2013,148.10 (144.86),131.59 (135.26)
21/09/2013,145.77 (146.99),131.85 (136.01)
14/09/2013,145.36 (149.61),131.07 (136.53)
07/09/2013,144.05 (147.33),129.22 (139.07)
31/08/2013,146.59 (148.24),132.48 (138.96)
24/08/2013,146.78 (151.27),132.56 (142.04)
17/08/2013,155.04 (149.78),134.78 (141.10)
10/08/2013,150.85 (151.48),139.60 (143.23)
03/08/2013,147.60(152.58),140.94(143.48)
27/07/2013,150.47(154.80),142.14(142.38)
20/07/2013,153.68(154.41),144.93(144.16)
13/07/2013,157.33(157.21),146.8(143.41)
06/07/2013,158.62(160.15),148.91(148.92)
29/06/2013,155.34(158.63),147.02(151.69)
22/06/2013,148.54(163.32),142.94(154.53)
15/06/2013,144.87(166.41),141.25(158.51)
08/06/2013,147.56(174.54),138.72(161.87)
01/06/2013,149.53(173.92),135.41(159.32)
25/05/2013,151.69(171.32),141.91(160.39)
18/05/2013,155.68(164.07),148.31(158.06)
11/05/2013,153.75(162.10),145.64(155.12)
04/05/2013,158.93(164),151.43(158.11)
16/03/2013,N.S.(N.S.),N.S.(N.S.)
